Species
Beihai yingvirus
Charybdis yingvirus
Hubei yingvirus
Sanxia yingvirus
Shahe yingvirus
Wenzhou yingvirus
Wuhan yingvirus
Xinzhou yingvirus
Blueberry mosaic associated ophiovirus
Citrus psorosis ophiovirus
Freesia sneak ophiovirus
Lettuce ring necrosis ophiovirus
Mirafiori lettuce big-vein ophiovirus
Ranunculus white mottle ophiovirus
Tulip mild mottle mosaic ophiovirus
Argas mivirus
Barnacle mivirus
Beetle mivirus
Bole mivirus
Brunnich mivirus
Changping mivirus
Charybdis mivirus
Cockroach mivirus
Crab mivirus
Crustacean mivirus
Dermacentor mivirus
Hermit mivirus
Hippoboscid mivirus
Hubei mivirus
Hubei odonate mivirus
Imjin mivirus
Lacewing mivirus
Lishi mivirus
Lonestar mivirus
Louse fly mivirus
Mosquito mivirus
Myriapod mivirus
Odonate mivirus
Sanxia mivirus
Shayang mivirus
Suffolk mivirus
Wenling mivirus
Wuhan mivirus
Xinzhou mivirus
Barnacle peropuvirus
Beihai peropuvirus
Hubei peropuvirus
Odonate peropuvirus
Pillworm peropuvirus
Pteromalus puparum peropuvirus
Woodlouse peropuvirus
Queensland carbovirus
Southwest carbovirus
Elapid 1 orthobornavirus
Mammalian 1 orthobornavirus
Mammalian 2 orthobornavirus
Passeriform 1 orthobornavirus
Passeriform 2 orthobornavirus
Psittaciform 1 orthobornavirus
Psittaciform 2 orthobornavirus
Waterbird 1 orthobornavirus
Lloviu cuevavirus
Bundibugyo ebolavirus
Reston ebolavirus
Sudan ebolavirus
Tai Forest ebolavirus
Zaire ebolavirus
Marburg marburgvirus
Gerrid arlivirus
Hubei arlivirus
Lishi arlivirus
Odonate arlivirus
Tacheng arlivirus
Wuchang arlivirus
Dadou sclerotimonavirus
Drop sclerotimonavirus
Glycine sclerotimonavirus
Hubei sclerotimonavirus
Illinois sclerotimonavirus
Phyllosphere sclerotimonavirus
Sclerotinia sclerotimonavirus
Beihai berhavirus
Echinoderm berhavirus
Sipunculid berhavirus
Beihai crustavirus
Wenling crustavirus
Wenzhou crustavirus
Midway nyavirus
Nyamanini nyavirus
Sierra Nevada nyavirus
Orinoco orinovirus
Soybean cyst nematode socyvirus
Tapeworm tapwovirus
Salmon aquaparamyxovirus
Avian avulavirus 1
Avian avulavirus 2
Avian avulavirus 3
Avian avulavirus 4
Avian avulavirus 5
Avian avulavirus 6
Avian avulavirus 7
Avian avulavirus 8
Avian avulavirus 9
Avian avulavirus 10
Avian avulavirus 11
Avian avulavirus 12
Avian avulavirus 13
Avian avulavirus 14
Avian avulavirus 15
Avian avulavirus 16
Avian avulavirus 17
Avian avulavirus 18
Avian avulavirus 19
Reptilian ferlavirus
Cedar henipavirus
Ghanaian bat henipavirus
Hendra henipavirus
Mojiang henipavirus
Nipah henipavirus
Canine morbillivirus
Cetacean morbillivirus
Feline morbillivirus
Measles morbillivirus
Phocine morbillivirus
Rinderpest morbillivirus
Small ruminant morbillivirus
Bovine respirovirus 3
Human respirovirus 1
Human respirovirus 3
Murine respirovirus
Porcine respirovirus 1
Achimota rubulavirus 1
Achimota rubulavirus 2
Bat mumps rubulavirus
Human rubulavirus 2
Human rubulavirus 4
Mammalian rubulavirus 5
Mapuera rubulavirus
Menangle rubulavirus
Mumps rubulavirus
Porcine rubulavirus
Simian rubulavirus
Sosuga rubulavirus
Teviot rubulavirus
Tioman rubulavirus
Tuhoko rubulavirus 1
Tuhoko rubulavirus 2
Tuhoko rubulavirus 3
Avian metapneumovirus
Human metapneumovirus
Bovine orthopneumovirus
Human orthopneumovirus
Murine orthopneumovirus
Arboretum almendravirus
Balsa almendravirus
Coot Bay almendravirus
Puerto Almendras almendravirus
Rio Chico almendravirus
Curionopolis curiovirus
Iriri curiovirus
Itacaiunas curiovirus
Rochambeau curiovirus
Alfalfa dwarf cytorhabdovirus
Barley yellow striate mosaic cytorhabdovirus
Broccoli necrotic yellows cytorhabdovirus
Colocasia bobone disease-associated cytorhabdovirus
Festuca leaf streak cytorhabdovirus
Lettuce necrotic yellows cytorhabdovirus
Lettuce yellow mottle cytorhabdovirus
Northern cereal mosaic cytorhabdovirus
Sonchus cytorhabdovirus 1
Strawberry crinkle cytorhabdovirus
Wheat American striate mosaic cytorhabdovirus
Coffee ringspot dichorhavirus
Orchid fleck dichorhavirus
Adelaide River ephemerovirus
Berrimah ephemerovirus
Bovine fever ephemerovirus
Kimberley ephemerovirus
Koolpinyah ephemerovirus
Kotonkan ephemerovirus
Obodhiang ephemerovirus
Yata ephemerovirus
Flanders hapavirus
Gray Lodge hapavirus
Hart Park hapavirus
Joinjakaka hapavirus
Kamese hapavirus
La Joya hapavirus
Landjia hapavirus
Manitoba hapavirus
Marco hapavirus
Mosqueiro hapavirus
Mossuril hapavirus
Ngaingan hapavirus
Ord River hapavirus
Parry Creek hapavirus
Wongabel hapavirus
Barur ledantevirus
Fikirini ledantevirus
Fukuoka ledantevirus
Kanyawara ledantevirus
Kern Canyon ledantevirus
Keuraliba ledantevirus
Kolente ledantevirus
Kumasi ledantevirus
Le Dantec ledantevirus
Mount Elgon bat ledantevirus
Nishimuro ledantevirus
Nkolbisson ledantevirus
Oita ledantevirus
Wuhan ledantevirus
Yongjia ledantevirus
Aravan lyssavirus
Australian bat lyssavirus
Bokeloh bat lyssavirus
Duvenhage lyssavirus
European bat 1 lyssavirus
European bat 2 lyssavirus
Gannoruwa bat lyssavirus
Ikoma lyssavirus
Irkut lyssavirus
Khujand lyssavirus
Lagos bat lyssavirus
Lleida bat lyssavirus
Mokola lyssavirus
Rabies lyssavirus
Shimoni bat lyssavirus
West Caucasian bat lyssavirus
Hirame novirhabdovirus
Piscine novirhabdovirus
Salmonid novirhabdovirus
Snakehead novirhabdovirus
Datura yellow vein nucleorhabdovirus
Eggplant mottled dwarf nucleorhabdovirus
Maize fine streak nucleorhabdovirus
Maize Iranian mosaic nucleorhabdovirus
Maize mosaic nucleorhabdovirus
Potato yellow dwarf nucleorhabdovirus
Rice yellow stunt nucleorhabdovirus
Sonchus yellow net nucleorhabdovirus
Sowthistle yellow vein nucleorhabdovirus
Taro vein chlorosis nucleorhabdovirus
Anguillid perhabdovirus
Perch perhabdovirus
Sea trout perhabdovirus
Drosophila affinis sigmavirus
Drosophila ananassae sigmavirus
Drosophila immigrans sigmavirus
Drosophila melanogaster sigmavirus
Drosophila obscura sigmavirus
Drosophila tristis sigmavirus
Muscina stabulans sigmavirus
Carp sprivivirus
Pike fry sprivivirus
Almpiwar sripuvirus
Chaco sripuvirus
Niakha sripuvirus
Sena Madureira sripuvirus
Sripur sripuvirus
Bas-Congo tibrovirus
Beatrice Hill tibrovirus
Coastal Plains tibrovirus
Ekpoma 1 tibrovirus
Ekpoma 2 tibrovirus
Sweetwater Branch tibrovirus
Tibrogargan tibrovirus
Durham tupavirus
Klamath tupavirus
Tupaia tupavirus
Lettuce big-vein associated varicosavirus
Alagoas vesiculovirus
American bat vesiculovirus
Carajas vesiculovirus
Chandipura vesiculovirus
Cocal vesiculovirus
Indiana vesiculovirus
Isfahan vesiculovirus
Jurona vesiculovirus
Malpais Spring vesiculovirus
Maraba vesiculovirus
Morreton vesiculovirus
New Jersey vesiculovirus
Perinet vesiculovirus
Piry vesiculovirus
Radi vesiculovirus
Yug Bogdanovac vesiculovirus
Moussa virus
Reptile sunshinevirus 1
Bolahun anphevirus
Dipteran anphevirus
Drosophilid anphevirus
Odonate anphevirus
Orthopteran anphevirus
Shuangao anphevirus
Xincheng anphevirus
Beihai yuyuevirus
Shahe yuyuevirus
Haartman hartmanivirus
Allpahuayo mammarenavirus
Argentinian mammarenavirus
Bear Canyon mammarenavirus
Brazilian mammarenavirus
Cali mammarenavirus
Chapare mammarenavirus
Cupixi mammarenavirus
Flexal mammarenavirus
Gairo mammarenavirus
Guanarito mammarenavirus
Ippy mammarenavirus
Lassa mammarenavirus
Latino mammarenavirus
Loei River mammarenavirus
Lujo mammarenavirus
Luna mammarenavirus
Lunk mammarenavirus
Lymphocytic choriomeningitis mammarenavirus
Machupo mammarenavirus
Mariental mammarenavirus
Merino Walk mammarenavirus
Mobala mammarenavirus
Mopeia mammarenavirus
Okahandja mammarenavirus
Oliveros mammarenavirus
Paraguayan mammarenavirus
Pirital mammarenavirus
Ryukyu mammarenavirus
Serra do Navio mammarenavirus 
Solwezi mammarenavirus
Souris mammarenavirus
Tacaribe mammarenavirus
Tamiami mammarenavirus
Wenzhou mammarenavirus
