(MVE)
TYUV
GLS
MURV
WNF
SLEV
BAGV
FAM
BAHV
EDTA
PCR
SPV
GAV
CPCV
MAYV
CVOV
CSSR
SPOV
PTV
ESBL
JUTV
PRNT
PFU
NSF
JUGV
DMEM
KOU
VNT
CVL
IHC
BHK
KUNV
FUAS
SSE
BSQV
EPU
SMRV
JEV
OIE
KEDV
MEM
PBS
IFA
LCV
SAHV
EEE
KABS
SINV
NKV
SEPV
ZIKV
CXFV
MGB
TSE
WTBE
FSME
BTS
BANV
LSCV
TCR
GGY
NEP
UNAM
LDK
TCID
CAL
ALFV
HLAF
ICTV
PCA
ISH
MRCA
KFDV
CMC
TBE
CVUA
MYKV
BOUV
PTVV
WND
SRE
CBD
MEAV
SEQ
NGS
THOV
ROCV
SLE
SSEV
UCL
FLAV
DZIF
VS virus
RG virus
TDM virus
CEE virus
TME virus
NTA virus
ME virus
UUK virus
BHA virus
CM virus
EEE virus
STR virus
WEE virus
NI virus
TBE virus
EYA virus
LED virus
KOU virus
BAU virus
ORO virus
TMU virus
EH virus
PI virus
ZT virus
ASF virus
IGU virus
AVA virus
UTI virus
MTR virus
AHF virus
ABL virus
OKH virus
CW virus
UGS virus
BAT virus
INK virus
ALK virus
SOL virus
CGL virus
ENT virus
RB virus
TAH virus
SV virus
POT virus
NJL virus
YF virus
SAB virus
DHO virus
KOK virus
SAK virus
ILH virus
LI virus
WN virus
POW virus
MUN virus
USU virus
SOK virus
MVE virus
VEE virus
OHF virus
TRB virus
DEN virus
TYU virus
MUR virus
SLE virus
BAG virus
BAH virus
SP virus
GA virus
CPC virus
MAY virus
CVO virus
SPO virus
PT virus
JUT virus
JUG virus
KUN virus
BSQ virus
SMR virus
JE virus
KED virus
LC virus
SAH virus
SIN virus
NK virus
SEP virus
ZIK virus
CXF virus
BAN virus
LSC virus
ALF virus
ICT virus
KFD virus
MYK virus
BOU virus
PTV virus
MEA virus
THO virus
ROC virus
SSE virus
FLA virus
