Title	Journal	Year	Authors	Volum	Issue	Date	Month	file
Sylvatic transmission of arboviruses among Bornean orangutans	Am J Trop Med Hyg	2001	"N. D. Wolfe, A. M. Kilbourn, W. B. Karesh, H. A. Rahman, E. J. Bosi, B. C. Cropp, M. Andau, A. Spielman and D. J. Gubler"	64	6-May	310-6	May-Jun	internal-pdf://1078712531/Wolfe-2001-Sylvatic transmission of arboviruse.pdf
Zika virus outside Africa	Emerg Infect Dis	2009	E. B. Hayes	15	9	1347-50	Sep	internal-pdf://1180468861/Hayes-2009-Zika virus outside Africa.pdf
Prevalence of antibodies to West Nile virus and other arboviruses among Crested Caracaras (Caracara cheriway) in Florida	J Wildl Dis	2009	"N. M. Nemeth, J. F. Dwyer, J. L. Morrison and J. D. Fraser"	45	3	817-22	Jul	internal-pdf://1295084731/Nemeth-2009-Prevalence of Antibodies to West N.pdf
"Culex (Eumelanomyia) rubinotus Theobald as vector of Banzi, Germiston and Witwatersrand Viruses I. Isolation of virus from wild populations of C. rubinotus"	Journal of medical entomology	1976	"B. McIntosh, P. Jupp, I. D. Santos and G. Meenehan"	12	6	637-640		internal-pdf://1375603442/jmedent12-0637.pdf
Serologic evidence of West Nile virus infections in wild birds captured in Germany	Am J Trop Med Hyg	2007	"S. Linke, M. Niedrig, A. Kaiser, H. Ellerbrok, K. Muller, T. Muller, F. J. Conraths, R. U. Muhle, D. Schmidt, U. Koppen, F. Bairlein, P. Berthold and G. Pauli"	77	2	358-64	Aug	internal-pdf://1422822771/Linke-2007-Serologic evidence of West Nile vir.pdf
Serologic survey for selected arboviruses and other potential pathogens in wildlife from Mexico	J Wildl Dis	1992	"A. A. Aguirre, R. G. McLean, R. S. Cook and T. J. Quan"	28	3	435-42	Jul	internal-pdf://1589099247/Aguirre-1992-Serologic survey for selected arb.pdf
"Usutu virus, Italy, 1996"	Emerg Infect Dis	2013	"H. Weissenbock, T. Bakonyi, G. Rossi, P. Mani and N. Nowotny"	19	2	274-7	Feb	"internal-pdf://1592578729/Weissenbock-2013-Usutu virus, Italy, 1996.pdf"
"New records of ectoparasites Echinolaelaps echidninus and Polyplax spinulosa on rodents with serological evidence of flavivirus infections at Mérida, Yucatán, México"	Southwestern Entomologist	2016	"C. M. Baak-Baak, N. Cigarroa-Toledo, O. M. Torres-Chablé, R. Arana-Guardía, F. I. Puerto, C. Machain-Williams and J. E. García-Rejón"	41	1	75-86		internal-pdf://1621859293/059.041.0109.pdf
"Emergence and establishment of Usutu virus infection in wild and captive avian species in and around Zurich, Switzerland—Genomic and pathologic comparison to other central European outbreaks"	Veterinary microbiology	2011	"H. W. Steinmetz, T. Bakonyi, H. Weissenböck, J.-M. Hatt, U. Eulenberger, N. Robert, R. Hoop and N. Nowotny"	148	4-Feb	207-212		internal-pdf://1668705917/Steinmetz-2011-Emergence and establishment of.pdf
"Isolation of tick-borne encephalitis virus from wild rodents and a seroepizootiologic survey in Hokkaido, Japan"	Am J Trop Med Hyg	1999	"T. Takeda, T. Ito, M. Osada, K. Takahashi and I. Takashima"	60	2	287-91	Feb	internal-pdf://1759952688/Takeda-1999-Isolation of tick-borne encephalit.pdf
"Prevalence of tick-borne encephalitis virus (TBEV) in samples of raw milk taken randomly from cows, goats and sheep in eastern Poland"	Ann Agric Environ Med	2010	"E. Cisak, A. Wojcik-Fatla, V. Zajac, J. Sroka, A. Buczek and J. Dutkiewicz"	17	2	283-6		internal-pdf://1789311980/fulltext367.pdf
"Louping ill in goats, Spain, 2011"	Emerg Infect Dis	2012	"A. Balseiro, L. J. Royo, C. P. Martinez, I. G. Fernandez de Mera, U. Hofle, L. Polledo, N. Marreros, R. Casais and J. F. Marin"	18	6	976-8	Jun	"internal-pdf://1823303193/Balseiro-2012-Louping ill in goats, Spain, 201.pdf"
Serologic evidence of natural togavirus infections in Panamanian sloths and other vertebrates	Am J Trop Med Hyg	1983	"C. Seymour, P. H. Peralta and G. G. Montgomery"	32	4	854-61	Jul	internal-pdf://1839415103/Seymour-1983-Serologic evidence of natural tog.pdf
"Isolation of tick-borne encephalitis viruses from wild rodents, South Korea"	Vector Borne Zoonotic Dis	2008	"S. Y. Kim, S. M. Yun, M. G. Han, I. Y. Lee, N. Y. Lee, Y. E. Jeong, B. C. Lee and Y. R. Ju"	8	1	13-Jul	Spring	internal-pdf://1856149802/Kim-2008-Isolation of tick-borne encephalitis.pdf
"Siberian subtype tickborne encephalitis virus, Finland"	Emerg Infect Dis	2006	"A. E. Jaaskelainen, T. Tikkakoski, N. Y. Uzcategui, A. N. Alekseev, A. Vaheri and O. Vapalahti"	12	10	1568-71	Oct	internal-pdf://1933176029/Jaaskelainen-2006-Siberian subtype tickborne e.pdf
Serosurveillance for Japanese Encephalitis and West Nile Viruses in Resident Birds in Hawai ‘i	Journal of wildlife diseases	2010	"N. M. Nemeth, A. M. Bosco-Lauth, R. H. Sciulli, R. B. Gose, M. T. Nagata and R. A. Bowen"	46	2	659-664		internal-pdf://2030507485/Nemeth-2010-Serosurveillance for Japanese Ence.pdf
Genetic characterization of Zika virus strains: geographic expansion of the Asian lineage	PLoS Negl Trop Dis	2012	"A. D. Haddow, A. J. Schuh, C. Y. Yasuda, M. R. Kasper, V. Heang, R. Huy, H. Guzman, R. B. Tesh and S. C. Weaver"	6	2	e1477		internal-pdf://2031984593/Haddow-2012-Genetic characterization of Zika v.pdf
The Isolation of Ilhéus Virus from Wild Caught Forest Mosquitoes in Trinidad1	The American journal of tropical medicine and hygiene	1956	"C. R. Anderson, T. H. Aitken and W. G. Downs"	5	4	621-625		internal-pdf://2064061107/TM0050040621.pdf
Dengue virus in bats from southeastern Mexico	Am J Trop Med Hyg	2014	"J. Sotomayor-Bonilla, A. Chaves, O. Rico-Chavez, M. K. Rostal, R. Ojeda-Flores, M. Salas-Rojas, A. Aguilar-Setien, S. Ibanez-Bernal, A. Barbachano-Guerrero, G. Gutierrez-Espeleta, J. L. Aguilar-Faisal, A. A. Aguirre, P. Daszak and G. Suzan"	91	1	129-31	Jul	internal-pdf://2082300956/Sotomayor-Bonil-2014-Dengue virus in bats from.pdf
The isolation of Ilheus virus from wild caught forest mosquitoes in Trinidad	Am J Trop Med Hyg	1956	"T. H. Aitken, C. R. Anderson and W. G. Downs"	5	4	621-5	Jul	internal-pdf://2098348264/Aitken-1956-The isolation of Ilheus virus from.pdf
Activity Patterns of St. Louis Encephalitis and West Nile Viruses in Free Ranging Birds during a Human Encephalitis Outbreak in Argentina	PLoS One	2016	"L. A. Diaz, A. I. Quaglia, B. S. Konigheim, A. S. Boris, J. J. Aguilar, N. Komar and M. S. Contigiani"	11	8	e0161871		internal-pdf://2118163497/Diaz-2016-Activity Patterns of St. Louis Encep.pdf
"Tick-borne encephalitis 2010: epidemiology, risk areas, and virus strains in Europe and Asia—an overview"	Ticks and tick-borne diseases	2011	J. Süss	2	1	15-Feb		internal-pdf://2163978285/Süss-2011-Tick-borne encephalitis 2010_ epidem.pdf
The first isolation of Bussuquara virus from man	Trans R Soc Trop Med Hyg	1971	S. Srihongse and C. M. Johnson	65	4	541-2		internal-pdf://2168993249/scholar (13).enw
A comparison of bats and rodents as reservoirs of zoonotic viruses: are bats special?	Proceedings of the Royal Society B: Biological Sciences	2013	"A. D. Luis, D. T. Hayman, T. J. O'Shea, P. M. Cryan, A. T. Gilbert, J. R. Pulliam, J. N. Mills, M. E. Timonin, C. K. Willis and A. A. Cunningham"	280	1756	20122753		internal-pdf://2197271980/Luis-2013-A comparison of bats and rodents as.pdf
Molecular epidemiology of Saint Louis encephalitis virus in the Brazilian Amazon: genetic divergence and dispersal	J Gen Virol	2010	"S. G. Rodrigues, M. R. Nunes, S. M. Casseb, A. S. Prazeres, D. S. Rodrigues, M. O. Silva, A. C. Cruz, J. C. Tavares-Neto and P. F. Vasconcelos"	91	Pt 10	2420-7	Oct	internal-pdf://2203274678/Rodrigues-2010-Molecular epidemiology of Saint.pdf
Serological evidence of continuing high Usutu virus (Flaviviridae) activity and establishment of herd immunity in wild birds in Austria	Vet Microbiol	2008	"T. Meister, H. Lussy, T. Bakonyi, S. Sikutova, I. Rudolf, W. Vogl, H. Winkler, H. Frey, Z. Hubalek, N. Nowotny and H. Weissenbock"	127	4-Mar	237-48	18-Mar	internal-pdf://2214702864/Serological_evidence_of_continuing_high.pdf
"Tick-borne encephalitis virus, Kyrgyzstan"	Emerg Infect Dis	2011	"B. J. Briggs, B. Atkinson, D. M. Czechowski, P. A. Larsen, H. N. Meeks, J. P. Carrera, R. M. Duplechin, R. Hewson, A. T. Junushov, O. N. Gavrilova, I. Breininger, C. J. Phillips, R. J. Baker and J. Hay"	17	5	876-9	May	"internal-pdf://2299584681/Briggs-2011-Tick-borne encephalitis virus, Kyr.pdf"
First serological evidence of West Nile virus activity in horses in Serbia	Vector Borne Zoonotic Dis	2011	"D. Lupulovic, M. A. Martin-Acebes, S. Lazic, J. Alonso-Padilla, A. B. Blazquez, E. Escribano-Romero, T. Petrovic and J. C. Saiz"	11	9	1303-5	Sep	internal-pdf://2301135928/2.pdf
Detection and genetic characterization of tick-borne encephalitis virus (TBEV) derived from ticks removed from red foxes (Vulpes vulpes) and isolated from spleen samples of red deer (Cervus elaphus) in Croatia	Ticks Tick Borne Dis	2014	"L. Jemersic, D. Dezdek, D. Brnic, J. Prpic, Z. Janicki, T. Keros, B. Roic, A. Slavica, S. Terzic, D. Konjevic and R. Beck"	5	1	13-Jul	Feb	internal-pdf://2343775402/1-s2.0-S1877959X13000587-main.pdf
"West Nile virus, Venezuela"	Emerg Infect Dis	2007	"I. Bosch, F. Herrera, J. C. Navarro, M. Lentino, A. Dupuis, J. Maffei, M. Jones, E. Fernandez, N. Perez, J. Perez-Eman, A. E. Guimaraes, R. Barrera, N. Valero, J. Ruiz, G. Velasquez, J. Martinez, G. Comach, N. Komar, A. Spielman and L. Kramer"	13	4	651-3	Apr	"internal-pdf://2405885802/Bosch-2007-West Nile virus, Venezuela.pdf"
Kyasanur forest disease: an epidemiological view in India	Rev Med Virol	2006	P. Pattnaik	16	3	151-65	May-Jun	internal-pdf://2478591855/Pattnaik-2006-Kyasanur forest disease_ an epid.pdf
Encephalitis caused by louping ill virus in a group of horses in Ireland	Equine Vet J	1976	"P. J. Timoney, W. J. Donnelly, L. O. Clements and M. Fenlon"	8	3	113-7	Jul	internal-pdf://2482224538/Timoney-1976-Encephalitis caused by louping il.pdf
Tick-borne viruses in Europe	Parasitol Res	2012	Z. Hubalek and I. Rudolf	111	1	Sep-36	Jul	internal-pdf://2488521108/Hubalek-2012-Tick-borne viruses in Europe.pdf
"Dengue, Japanese encephalitis and Chikungunya virus antibody prevalence among captive monkey (Macaca nemestrina) colonies of Northern Thailand"	Am J Primatol	2014	"K. Nakgoi, N. Nitatpattana, W. Wajjwalku, P. Pongsopawijit, S. Kaewchot, S. Yoksan, V. Siripolwat, M. Souris and J. P. Gonzalez"	76	1	97-102	Jan	"internal-pdf://2535437161/Nakgoi-2014-Dengue, Japanese encephalitis and.pdf"
"Serologic Evidence of Flavivirus Infections in Peridomestic Rodents in Merida, Mexico"	J Wildl Dis	2016	"N. Cigarroa-Toledo, L. G. Talavera-Aguilar, C. M. Baak-Baak, J. E. Garcia-Rejon, S. Hernandez-Betancourt, B. J. Blitvich and C. Machain-Williams"	52	1	168-72	Jan	internal-pdf://2639544022/Cigarroa-Toledo-2016-Serologic Evidence of Fla.pdf
Epidemic Spread of Usutu Virus in Southwest Germany in 2011 to 2013 and Monitoring of Wild Birds for Usutu and West Nile Viruses	Vector Borne Zoonotic Dis	2015	"U. Ziegler, H. Jost, K. Muller, D. Fischer, M. Rinder, D. T. Tietze, K. J. Danner, N. Becker, J. Skuballa, H. P. Hamann, S. Bosch, C. Fast, M. Eiden, J. Schmidt-Chanasit and M. H. Groschup"	15	8	481-8	Aug	internal-pdf://2653991103/vbz.2014.1746.pdf
Possible ecology and epidemiology of medically important mosquito-borne arboviruses in Great Britain	Epidemiol Infect	2007	"J. M. Medlock, K. R. Snow and S. Leach"	135	3	466-82	Apr	internal-pdf://2656881886/Medlock-2007-Possible ecology and epidemiology.pdf
"Serological survey for arboviruses in Cordoba Province, Argentina"	Am J Trop Med Hyg	1965	"M. S. Sabattini, R. E. Shope and J. M. Vanella"	14	6	1073-8	Nov	internal-pdf://2724605339/Sabattini-1965-Serological survey for arboviru.pdf
Usutu virus persistence and West Nile virus inactivity in the Emilia-Romagna region (Italy) in 2011	PLoS One	2013	"M. Calzolari, P. Bonilauri, R. Bellini, A. Albieri, F. Defilippo, M. Tamba, M. Tassinari, A. Gelati, P. Cordioli, P. Angelini and M. Dottori"	8	5	e63978		internal-pdf://2780051456/Calzolari-2013-Usutu virus persistence and Wes.pdf
Isolation of St. Louis encephalitis virus from a killer whale	Clin Diagn Virol	1993	"C. Buck, G. P. Paulino, D. J. Medina, G. D. Hsiung, T. W. Campbell and M. T. Walsh"	1	2	109-12	Jul	internal-pdf://2855235267/Buck-1993-Isolation of St. Louis encephalitis.pdf
Confirmed case of encephalitis caused by Murray Valley encephalitis virus infection in a horse	J Vet Diagn Invest	2012	"A. N. Gordon, C. R. Marbach, J. Oakey, G. Edmunds, K. Condon, S. M. Diviney, D. T. Williams and J. Bingham"	24	2	431-6	Mar	internal-pdf://2970824486/1040638711433325.pdf
Phylogenetic analysis of the envelope gene of St. Louis encephalitis virus	Arch Virol	2001	L. D. Kramer and L. J. Chandler	146	12	2341-55	Dec	internal-pdf://2991097411/Kramer-Chandler2001_Article_PhylogeneticAnalys.pdf
"Serologic survey for yellow fever and other arboviruses among inhabitants of Rio Branco, Brazil, before and three months after receiving the yellow fever 17D vaccine"	Revista da Sociedade Brasileira de Medicina Tropical	2004	"J. Tavares-Neto, J. Freitas-Carvalho, M. R. T. Nunes, G. Rocha, S. G. Rodrigues, E. Damasceno, R. Darub, S. Viana and P. F. d. C. Vasconcelos"	37	1	6-Jan		internal-pdf://3019163158/Tavares-Neto-2004-Serologic survey for yellow.pdf
Serologic evidence of flavivirus infection in bats in the Yucatan Peninsula of Mexico	J Wildl Dis	2013	"C. Machain-Williams, M. Lopez-Uribe, L. Talavera-Aguilar, J. Carrillo-Navarrete, L. Vera-Escalante, F. Puerto-Manzano, A. Ulloa, J. A. Farfan-Ale, J. Garcia-Rejon, B. J. Blitvich and M. A. Lorono-Pino"	49	3	684-9	Jul	internal-pdf://3035737517/Machain-William-2013-Serologic evidence of fla.pdf
"Natural exposure of horses to mosquito-borne flaviviruses in south-east Queensland, Australia"	Int J Environ Res Public Health	2013	"N. A. Prow, C. S. Tan, W. Wang, J. Hobson-Peters, L. Kidd, A. Barton, J. Wright, R. A. Hall and H. Bielefeldt-Ohmann"	10	9	4432-43	17-Sep	internal-pdf://3056270441/Prow-2013-Natural exposure of horses to mosqui.pdf
"Serological evidence of widespread circulation of West Nile virus and other flaviviruses in equines of the Pantanal, Brazil"	PLoS Negl Trop Dis	2014	"A. Pauvolid-Correa, Z. Campos, R. Juliano, J. Velez, R. M. Nogueira and N. Komar"	8	2	e2706	Feb	internal-pdf://3059221561/Pauvolid-Correa-2014-Serological Evidence of W.pdf
"Emergence of a new arbovirus disease in Brazil: I. Isolation and characterization of the etiologic agent, rocio virus"	American Journal of Epidemiology	1978	"O. D. S. LOPES, T. L. COIMBRA, L. D. A. SACCHETTA and C. H. CALISHER"	107	5	444-449		internal-pdf://3062062919/107-5-444.pdf
"Tembusu virus in ducks, china"	Emerg Infect Dis	2011	"Z. Cao, C. Zhang, Y. Liu, Y. Liu, W. Ye, J. Han, G. Ma, D. Zhang, F. Xu, X. Gao, Y. Tang, S. Shi, C. Wan, C. Zhang, B. He, M. Yang, X. Lu, Y. Huang, Y. Diao, X. Ma and D. Zhang"	17	10	1873-5	Oct	"internal-pdf://3098503442/Cao-2011-Tembusu virus in ducks, china.pdf"
West Nile virus lineage 2 as a cause of zoonotic neurological disease in humans and horses in southern Africa	Vector Borne Zoonotic Dis	2010	M. Venter and R. Swanepoel	10	7	659-64	Oct	internal-pdf://3102905913/vbz.2014.1746.pdf
Genomics and evolution of Aedes-borne flaviviruses	J Gen Virol	2010	"G. Grard, G. Moureau, R. N. Charrel, E. C. Holmes, E. A. Gould and X. de Lamballerie"	91	Pt 1	87-94	Jan	internal-pdf://3320100048/Grard-2010-Genomics and evolution of Aedes-bor.pdf
"Serologic evidence of West Nile virus transmission, Jamaica, West Indies"	Emerg Infect Dis	2003	"A. P. Dupuis, 2nd, P. P. Marra and L. D. Kramer"	9	7	860-3	Jul	internal-pdf://3336326665/Dupuis-2003-Serologic evidence of West Nile vi.pdf
Detection of Entebbe Bat Virus After 54 Years	Am J Trop Med Hyg	2015	"R. C. Kading, R. Kityo, T. Nakayiki, J. Ledermann, M. B. Crabtree, J. Lutwama and B. R. Miller"	93	3	475-7	Sep	internal-pdf://3454089871/Kading-2015-Detection of Entebbe Bat Virus Aft.pdf
Rodents as sentinels for the prevalence of tick-borne encephalitis virus	Vector Borne Zoonotic Dis	2011	"K. Achazi, D. Ruzek, O. Donoso-Mantke, M. Schlegel, H. S. Ali, M. Wenk, J. Schmidt-Chanasit, L. Ohlmeyer, F. Ruhe, T. Vor, C. Kiffner, R. Kallies, R. G. Ulrich and M. Niedrig"	11	6	641-7	Jun	internal-pdf://3475176308/Achazi-2011-Rodents as Sentinels for the Preva.pdf
"Serological evidence of West Nile virus, Usutu virus and Sindbis virus infection of birds in the UK"	J Gen Virol	2003	"A. Buckley, A. Dawson, S. R. Moss, S. A. Hinsley, P. E. Bellamy and E. A. Gould"	84	Pt 10	2807-17	Oct	internal-pdf://3538424142/Buckley-2003-Serological evidence of West Nile.pdf
Dengue infection in neotropical forest mammals	Vector Borne Zoonotic Dis	2009	"B. de Thoisy, V. Lacoste, A. Germain, J. Munoz-Jordan, C. Colon, J. F. Mauffrey, M. Delaval, F. Catzeflis, M. Kazanji, S. Matheus, P. Dussart, J. Morvan, A. A. Setien, X. Deparis and A. Lavergne"	9	2	157-70	Apr	internal-pdf://3563334681/de Thoisy-2009-Dengue infection in neotropical.pdf
The relationships between West Nile and Kunjin viruses	Emerg Infect Dis	2001	"J. H. Scherret, M. Poidinger, J. S. Mackenzie, A. K. Broom, V. Deubel, W. I. Lipkin, T. Briese, E. A. Gould and R. A. Hall"	7	4	697-705	Jul-Aug	internal-pdf://3579660937/Scherret-2001-The relationships between West N.pdf
Real-time fluorogenic reverse transcription polymerase chain reaction assay for the specific detection of Bagaza virus	J Vet Diagn Invest	2012	"D. Buitrago, A. Rocha, C. Tena-Tomas, M. Vigo, M. Aguero and M. A. Jimenez-Clavero"	24	5	959-63	Sep	internal-pdf://3706320444/1040638712452723.pdf
"Serosurvey of Selected Arboviral Pathogens in Free-Ranging, Two-Toed Sloths (Choloepus Hoffmanni) and Three-Toed Sloths (Bradypus Variegatus) in Costa Rica, 2005–07"	Journal of wildlife diseases	2016	"S. Medlin, E. R. Deardorff, C. S. Hanley, C. Vergneau-Grosset, A. Siudak-Campfield, R. Dallwig, A. T. Da Rosa, R. B. Tesh, M. P. Martin and S. C. Weaver"	52	4	883-892		internal-pdf://3726174652/Medlin-2016-Serosurvey of Selected Arboviral P.pdf
Zika Virus Infection in Australia Following a Monkey Bite in Indonesia	Southeast Asian J Trop Med Public Health	2015	"G. H. Leung, R. W. Baird, J. Druce and N. M. Anstey"	46	3	460-4	May	internal-pdf://3739689889/09-642913p460.pdf
First detection of co-circulation of West Nile and Usutu viruses in equids in the south-west of Tunisia	Transbound Emerg Dis	2014	"T. Ben Hassine, F. De Massis, P. Calistri, G. Savini, B. BelHaj Mohamed, A. Ranen, A. Di Gennaro, S. Sghaier and S. Hammami"	61	5	385-9	Oct	internal-pdf://3749174152/Ben Hassine-2014-First detection of co-circula.pdf
Recent ancestry of Kyasanur Forest disease virus	Emerg Infect Dis	2009	"R. Mehla, S. R. Kumar, P. Yadav, P. V. Barde, P. N. Yergolkar, B. R. Erickson, S. A. Carroll, A. C. Mishra, S. T. Nichol and D. T. Mourya"	15	9	1431-7	Sep	internal-pdf://3765620527/Mehla-2009-Recent ancestry of Kyasanur Forest.pdf
West Nile and st. Louis encephalitis viruses antibodies surveillance in captive and free-ranging birds of prey from Argentina	Ecohealth	2014	"A. I. Quaglia, L. A. Diaz, H. Argibay, M. S. Contigiani and M. D. Saggese"	11	4	603-9	Dec	internal-pdf://3803996028/Quaglia-2014-West Nile and st. Louis encephali.pdf
Resource use by the two-toed sloth (Choloepus hoffmanni) and the three-toed sloth (Bradypus variegatus) differs in a shade-grown agro-ecosystem	Journal of Tropical Ecology	2015	"J. E. Mendoza, M. Z. Peery, G. A. Gutierrez, G. Herrera and J. N. Pauli"	31	1	49-55	Jan	internal-pdf://3815453172/Mendoza-2015-Resource use by the two-toed slot.pdf
Tickborne encephalitis in a mouflon (Ovis ammon musimon)	Vet Rec	2002	"Z. Bago, B. Bauder, J. Kolodziejek, N. Nowotny and H. Weissenbock"	150	7	218-20	16-Feb	internal-pdf://3842804427/218.full.pdf
Detection of dengue virus neutralizing antibodies in bats from Costa Rica and Ecuador	J Med Entomol	2000	"K. B. Platt, J. A. Mangiafico, O. J. Rocha, M. E. Zaldivar, J. Mora, G. Trueba and W. A. Rowley"	37	6	965-7	Nov	internal-pdf://3991328098/jmedent37-0965.pdf
West Nile virus associations in wild mammals: a synthesis	Arch Virol	2013	J. Jeffrey Root	158	4	735-52	Apr	internal-pdf://3994954288/Root-2013-West Nile virus associations in wild.pdf
